id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kematian,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,20,JIWA,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19,JIWA,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,JIWA,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,21,JIWA,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0,JIWA,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,16,JIWA,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9,JIWA,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,14,JIWA,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,15,JIWA,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7,JIWA,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5,JIWA,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,25,JIWA,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,14,JIWA,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,16,JIWA,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,36,JIWA,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,JIWA,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,21,JIWA,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1,JIWA,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,9,JIWA,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,8,JIWA,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,17,JIWA,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,1,JIWA,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,14,JIWA,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,27,JIWA,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,4,JIWA,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JIWA,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,2,JIWA,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,29,JIWA,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,JIWA,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,18,JIWA,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,26,JIWA,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,34,JIWA,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12,JIWA,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,JIWA,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15,JIWA,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,17,JIWA,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5,JIWA,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5,JIWA,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,24,JIWA,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,13,JIWA,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17,JIWA,2020
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,38,JIWA,2020
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,7,JIWA,2020
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,JIWA,2020
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1,JIWA,2020
46,32,JAWA BARAT,3271,KOTA BOGOR,12,JIWA,2020
47,32,JAWA BARAT,3272,KOTA SUKABUMI,8,JIWA,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,14,JIWA,2020
49,32,JAWA BARAT,3274,KOTA CIREBON,1,JIWA,2020
50,32,JAWA BARAT,3275,KOTA BEKASI,8,JIWA,2020
51,32,JAWA BARAT,3276,KOTA DEPOK,9,JIWA,2020
52,32,JAWA BARAT,3277,KOTA CIMAHI,4,JIWA,2020
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,JIWA,2020
54,32,JAWA BARAT,3279,KOTA BANJAR,0,JIWA,2020
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,54,JIWA,2021
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,25,JIWA,2021
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,23,JIWA,2021
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,23,JIWA,2021
59,32,JAWA BARAT,3205,KABUPATEN GARUT,54,JIWA,2021
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20,JIWA,2021
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7,JIWA,2021
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,23,JIWA,2021
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,22,JIWA,2021
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10,JIWA,2021
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18,JIWA,2021
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,22,JIWA,2021
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,22,JIWA,2021
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,25,JIWA,2021
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,45,JIWA,2021
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,8,JIWA,2021
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,21,JIWA,2021
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2,JIWA,2021
73,32,JAWA BARAT,3271,KOTA BOGOR,11,JIWA,2021
74,32,JAWA BARAT,3272,KOTA SUKABUMI,11,JIWA,2021
75,32,JAWA BARAT,3273,KOTA BANDUNG,26,JIWA,2021
76,32,JAWA BARAT,3274,KOTA CIREBON,8,JIWA,2021
77,32,JAWA BARAT,3275,KOTA BEKASI,8,JIWA,2021
78,32,JAWA BARAT,3276,KOTA DEPOK,35,JIWA,2021
79,32,JAWA BARAT,3277,KOTA CIMAHI,12,JIWA,2021
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,22,JIWA,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,3,JIWA,2021
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,24,JIWA,2022
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,18,JIWA,2022
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,15,JIWA,2022
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,17,JIWA,2022
86,32,JAWA BARAT,3205,KABUPATEN GARUT,33,JIWA,2022
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,27,JIWA,2022
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,11,JIWA,2022
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6,JIWA,2022
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,12,JIWA,2022
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11,JIWA,2022
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9,JIWA,2022
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,20,JIWA,2022
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,8,JIWA,2022
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11,JIWA,2022
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,32,JIWA,2022
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,11,JIWA,2022
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,JIWA,2022
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3,JIWA,2022
100,32,JAWA BARAT,3271,KOTA BOGOR,9,JIWA,2022
101,32,JAWA BARAT,3272,KOTA SUKABUMI,2,JIWA,2022
102,32,JAWA BARAT,3273,KOTA BANDUNG,18,JIWA,2022
103,32,JAWA BARAT,3274,KOTA CIREBON,4,JIWA,2022
104,32,JAWA BARAT,3275,KOTA BEKASI,4,JIWA,2022
105,32,JAWA BARAT,3276,KOTA DEPOK,10,JIWA,2022
106,32,JAWA BARAT,3277,KOTA CIMAHI,7,JIWA,2022
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,JIWA,2022
108,32,JAWA BARAT,3279,KOTA BANJAR,6,JIWA,2022
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,70,JIWA,2023
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,28,JIWA,2023
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,34,JIWA,2023
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,22,JIWA,2023
113,32,JAWA BARAT,3205,KABUPATEN GARUT,43,JIWA,2023
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,21,JIWA,2023
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7,JIWA,2023
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8,JIWA,2023
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,21,JIWA,2023
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,15,JIWA,2023
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14,JIWA,2023
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,17,JIWA,2023
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,14,JIWA,2023
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13,JIWA,2023
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,32,JIWA,2023
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,21,JIWA,2023
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,14,JIWA,2023
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,JIWA,2023
127,32,JAWA BARAT,3271,KOTA BOGOR,8,JIWA,2023
128,32,JAWA BARAT,3272,KOTA SUKABUMI,4,JIWA,2023
129,32,JAWA BARAT,3273,KOTA BANDUNG,18,JIWA,2023
130,32,JAWA BARAT,3274,KOTA CIREBON,5,JIWA,2023
131,32,JAWA BARAT,3275,KOTA BEKASI,18,JIWA,2023
132,32,JAWA BARAT,3276,KOTA DEPOK,21,JIWA,2023
133,32,JAWA BARAT,3277,KOTA CIMAHI,2,JIWA,2023
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,JIWA,2023
135,32,JAWA BARAT,3279,KOTA BANJAR,3,JIWA,2023
